Time_Sec,Fluorescence
0,4567.01
0.5,4560.34
1,4549.68
1.5,4534.9
2,4513.67
2.5,4503.62
3,4504.73
3.5,4510.31
4,4515.43
4.5,4522.88
5,4529.84
5.5,4528.67
6,4525.31
6.5,4533.19
7,4545.02
7.5,4535.07
8,4528.63
8.5,4533.21
9,4534.54
9.5,4537.18
10,4538.9
10.5,4534.23
11,4528.52
11.5,4529.31
12,4531.11
12.5,4531.08
13,4529.78
13.5,4520.63
14,4513.03
14.5,4518.67
15,4524.42
15.5,4527.58
16,4528.47
16.5,4526.99
17,4528.79
17.5,4527.02
18,4518
18.5,4510.63
19,4506.1
19.5,4503.56
20,4502.24
20.5,4502.15
21,4502.44
21.5,4503.37
22,4511.88
22.5,4522.57
23,4523.9
23.5,4522.66
24,4523.62
24.5,4523.01
25,4519.84
25.5,4517.76
26,4512.62
26.5,4503.97
27,4499.91
27.5,4500.06
28,4499.68
28.5,4500.97
29,4508.59
29.5,4513.57
30,4511.22
30.5,4507.19
31,4514.65
31.5,4525.05
32,4522.3
32.5,4520.38
33,4520.97
33.5,4519.89
34,4519.41
34.5,4520.27
35,4519.18
35.5,4519.5
36,4515.62
36.5,4504.4
37,4504.31
37.5,4511.41
38,4515.27
38.5,4519.52
39,4519.74
39.5,4520.02
40,4531.87
40.5,4537.51
41,4533.19
41.5,4532.7
42,4536.32
42.5,4534.86
43,4528.86
43.5,4522.64
44,4522.07
44.5,4531
45,4535.41
45.5,4530.87
46,4528.22
46.5,4524.95
47,4529.87
47.5,4532.97
48,4528.04
48.5,4529.81
49,4530.25
49.5,4522.8
50,4514.94
50.5,4517.37
51,4524.38
51.5,4527.41
52,4525.4
52.5,4527.21
53,4535.88
53.5,4541.79
54,4542.23
54.5,4543.63
55,4548.95
55.5,4548.81
56,4542.25
56.5,4540.41
57,4545.41
57.5,4553.27
58,4552.79
58.5,4550.16
59,4553.76
59.5,4557.38
60,4559.22
60.5,4559.73
61,4554.77
61.5,4553.75
62,4553.17
62.5,4549.09
63,4549.82
63.5,4548.82
64,4546.11
64.5,4546.06
65,4546.98
65.5,4546.13
66,4545.67
66.5,4547.49
67,4550.36
67.5,4548.37
68,4547.56
68.5,4551.78
69,4553.1
69.5,4551.66
70,4549.11
70.5,4552.53
71,4560.26
71.5,4556.42
72,4552.68
72.5,4558.15
73,4559.4
73.5,4559.64
74,4559.81
74.5,4558.69
75,4560.36
75.5,4558.25
76,4558.36
76.5,4557.36
77,4553.37
77.5,4559.09
78,4561.73
78.5,4563.3
79,4566.75
79.5,4564.48
80,4559.26
80.5,4556.98
81,4558.77
81.5,4560.29
82,4564.79
82.5,4565.76
83,4561.55
83.5,4563.93
84,4563.48
84.5,4563.23
85,4565.87
85.5,4567.79
86,4574.67
86.5,4578.1
87,4578.71
87.5,4573.9
88,4567.48
88.5,4567.1
89,4565.84
89.5,4563.52
90,4563.1
90.5,4561.31
91,4564.72
91.5,4568.62
92,4567.51
92.5,4561.18
93,4561.82
93.5,4566.01
94,4563.9
94.5,4565.48
95,4564.22
95.5,4555.3
96,4550.29
96.5,4554.07
97,4557.2
97.5,4558.22
98,4554.44
98.5,4553.52
99,4554.06
99.5,4548.99
100,4548.12
100.5,4544.25
101,4541.64
101.5,4543.66
102,4547.27
102.5,4546.63
103,4538.83
103.5,4534.18
104,4536.29
104.5,4538.39
105,4536.58
105.5,4535.68
106,4533.22
106.5,4532.4
107,4540.23
107.5,4538.43
108,4521.67
108.5,4508.44
109,4500.78
109.5,4497.26
110,4498.11
110.5,4500.73
111,4492.9
111.5,4489.54
112,4500.04
112.5,4502.91
113,4495.55
113.5,4497.33
114,4512.48
114.5,4515.85
115,4510.11
115.5,4514.02
116,4510.35
116.5,4504.15
117,4505.37
117.5,4502.33
118,4491.72
118.5,4488.98
119,4491
119.5,4485.86
120,4482.5
120.5,4483.75
121,4478.49
121.5,4477.15
122,4482.36
122.5,4484.18
123,4484.86
123.5,4479.27
124,4478.9
124.5,4481.99
125,4479.52
125.5,4482.79
126,4485.54
126.5,4480.08
127,4480.16
127.5,4483.37
128,4481.13
128.5,4476.13
129,4474.76
129.5,4474.04
130,4473.63
130.5,4471.1
131,4471.73
131.5,4473.67
132,4479.1
132.5,4484.74
133,4482.92
133.5,4486.31
134,4484.85
134.5,4478.9
135,4483.79
135.5,4493.77
136,4497.99
136.5,4495.81
137,4492.08
137.5,4488.27
138,4489.89
138.5,4487.32
139,4485.13
139.5,4484.92
140,4476.09
140.5,4477.74
141,4483.92
141.5,4485.05
142,4487.67
142.5,4486.63
143,4488.58
143.5,4491.31
144,4488.28
144.5,4479.76
145,4473.4
145.5,4473.41
146,4473.09
146.5,4477.36
147,4482.17
147.5,4482.47
148,4478.6
148.5,4480.39
149,4487.52
149.5,4484.54
150,4487.05
150.5,4495.33
151,4495.26
151.5,4496.12
152,4490.82
152.5,4484.79
153,4485.75
153.5,4487.12
154,4492.2
154.5,4493.93
155,4486.63
155.5,4484.32
156,4489.04
156.5,4490.52
157,4487.67
157.5,4485
158,4479.35
158.5,4480.4
159,4485.46
159.5,4485.99
160,4484
160.5,4479.26
161,4475.14
161.5,4471.82
162,4479.99
162.5,4491.79
163,4492.43
163.5,4490.74
164,4489.83
164.5,4485.05
165,4483.46
165.5,4483.46
166,4483.62
166.5,4487.05
167,4492.77
167.5,4496.28
168,4497.4
168.5,4497.06
169,4494.79
169.5,4488.5
170,4485.7
170.5,4480.03
171,4473.31
171.5,4481.21
172,4485.89
172.5,4488.18
